T,Euribor1Y,HICP,CORE,IPI,EXRATE,NFCRATE,VOL,M3,GDP,LP,UNRATE
2008.9166666666667,3.452,4.51338379035738,4.53109298259178,4.60772707820187,4.71792693292219,4.55,56.836225,16.0564725558333,14.8330502546433,4.53011666718771,8.36355
2009.0,2.6216,4.51404125257699,4.53173890790221,4.56601091487962,4.71792524904631,3.83,48.1709333333333,16.0565155227911,,,8.76378
2009.0833333333333,2.1354,4.51557365217634,4.53292202178047,4.55422716845756,4.70992607536774,3.46,47.3829588235294,16.0601345974423,,,9.06542
2009.1666666666667,1.9089,4.51447932070359,4.5335667671284,4.54121180034549,4.73136947478169,3.19,47.6582,16.0565715684984,14.801700428408,4.51741232208794,9.35246
2009.25,1.771,4.51590171822991,4.53539129138018,4.52691798908834,4.72103222264396,2.92,39.1884941176471,16.0616432819277,,,9.52402
2009.3333333333333,1.6444,4.51666678739669,4.53614159957766,4.54556910571444,4.72546410489438,2.87,35.9905588235294,16.0585138914219,,,9.63508
2009.4166666666667,1.6105,4.51928544683092,4.5364629879783,4.5553041744852,4.73560617038376,2.89,31.6739473684211,16.0592780143104,14.8017328821891,4.52639016521845,9.71535
2009.5,1.412,4.5176495884586,4.5368913452348,4.5553041744852,4.7344085193579,2.74,31.10457,16.0597386249521,,,9.81427
2009.5833333333333,1.3343,4.52015681166114,4.53806838244736,4.55638002181866,4.73531661433734,2.64,28.3031944444445,16.0548991622256,,,9.87883
2009.6666666666667,1.261,4.519503359231,4.53870981928782,4.57449452885744,4.74687566776401,2.47,26.7814842105263,16.0577335696751,14.8053799059079,4.53427841887815,10.0147
2009.75,1.2426,4.51972122415561,4.53945764262271,4.56813857525674,4.75513024142875,2.52,28.3129315789474,16.0544643448434,,,10.0908
2009.8333333333333,1.2306,4.52178857704904,4.54020490713573,4.57449452885744,4.75465882901246,2.61,27.7957722222222,16.0514037730112,,,10.1608
2009.9166666666667,1.2424,4.52222326516717,4.54148463430196,4.56601091487962,4.74434593552538,2.56,25.5629294117647,16.050813636549,14.809768691091,4.54110209321035,10.1514
2010.0,1.2322,4.52504414150881,4.54201737098282,4.57449452885744,4.72227784686896,2.4,24.7119941176471,16.0481077488783,,,10.2522
2010.0833333333333,1.2252,4.52547741707884,4.54254982400642,4.56707531093541,4.69655749654188,2.38,28.0338647058824,16.0480598071934,,,10.2867
2010.1666666666667,1.2151,4.5289368799885,4.54318839363221,4.58916984464165,4.68647783789822,2.41,21.028815,16.0489924876752,14.8138405261984,4.54588439671391,10.2691
2010.25,1.2252,4.5321692931036,4.54403918598386,4.59020988633706,4.67091466379324,2.39,23.8842,16.0538722801557,,,10.3597
2010.3333333333333,1.2493,4.53281452379595,4.54467680555913,4.60670510570618,4.63784261865165,2.38,39.8631111111111,16.0550102601819,,,10.3579
2010.4166666666667,1.2813,4.5335667671284,4.54573860221867,4.62393817282995,4.61727456180989,2.52,33.1195947368421,16.039149300399,14.8229214674672,4.55296015868413,10.3148
2010.5,1.3734,4.5349622909446,4.54701127181456,4.59849150716879,4.63905411405754,2.59,28.8040789473684,16.0384473904803,,,10.2508
2010.5833333333333,1.421,4.53592728324593,4.54796471221731,4.60976789523672,4.63647713041899,2.63,27.2319368421053,16.0417232245545,,,10.227
2010.6666666666667,1.4205,4.53699840588476,4.54891724443729,4.60772707820187,4.64019680639204,2.6,24.38903,16.0425853729563,14.8273184373144,4.55757656609117,10.2335
2010.75,1.4954,4.53870981928782,4.55050278464578,4.61687813341923,4.67581179917074,2.68,23.7737473684211,16.042149374774,,,10.2632
2010.8333333333333,1.5405,4.54063166485052,4.55134737929058,4.61788976729407,4.66415958343699,2.8,26.453625,16.0441459432032,,,10.2112
2010.9166666666667,1.5261,4.54403918598386,4.55187488892987,4.61282133272361,4.64129183675576,2.88,22.2045947368421,16.0453967778657,14.8333796453371,4.5630446462074,10.198
2011.0,1.55,4.54891724443729,4.55429785561434,4.62494269325596,4.64152633019648,2.78,21.9648421052632,16.0475442083874,,,10.1347
2011.0833333333333,1.714,4.55124184396254,4.55524437721837,4.63493278633104,4.65414749486065,2.96,21.6726888888889,16.0484296601202,,,10.1219
2011.1666666666667,1.9241,4.55482381155135,4.55545459374216,4.63194622363329,4.670216391217,2.98,26.1344047619048,16.0503852781468,14.842572511192,4.56674593499636,10.1015
2011.25,2.0856,4.55839299442916,4.55765920331704,4.6289507146535,4.68590771889651,3.15,20.311,16.0509382368456,,,10.023
2011.3333333333333,2.1471,4.55902152996211,4.55839299442916,4.63493278633104,4.67822731224693,3.14,21.85351,16.0529294128477,,,10.095
2011.4166666666667,2.1441,4.55912624748668,4.55954500796182,4.61687813341923,4.67960349057588,3.21,24.780945,16.0548228884103,14.8426538048217,4.57010874122444,10.1164
2011.5,2.1827,4.56142726304017,4.56080023825215,4.63194622363329,4.67022257275918,3.31,26.0219473684211,16.0552343358574,,,10.2418
2011.5833333333333,2.0969,4.56299310708891,4.56278446949165,4.6289507146535,4.6739985269842,3.26,44.7855523809524,16.0627529054416,,,10.3425
2011.6666666666667,2.0669,4.56528525228918,4.56361875882986,4.61990997000135,4.66599165477531,3.27,49.993905,16.0662203977919,14.8428810088297,4.57151559173514,10.46
2011.75,2.1101,4.56777979676953,4.56528525228918,4.61282133272361,4.67083876902924,3.38,40.3617789473684,16.0619947130876,,,10.5755
2011.8333333333333,2.0439,4.56995743023235,4.56653330237317,4.61990997000135,4.66594287854865,3.33,43.13476,16.0638357500154,,,10.7232
2011.9166666666667,2.0035,4.57088925201122,4.56757215557277,4.61383707684345,4.6494187795083,3.48,36.1404052631579,16.0666498186217,14.8402401573057,4.57205616150883,10.8216
2012.0,1.8366,4.57543236772414,4.56975024075683,4.61383707684345,4.62795283359413,3.21,28.137675,16.0676698749047,,,10.8718
2012.0833333333333,1.6783,4.57831273181821,4.57047521619121,4.59746004756212,4.63222544084655,3.13,24.0280368421053,16.0704815799202,,,11.0438
2012.1666666666667,1.4985,4.58149205863351,4.57182020630654,4.61485179027399,4.63441441247829,3.0,22.91879,16.0783897000963,14.8373733379217,4.57270445974872,11.2195
2012.25,1.3678,4.58404868936598,4.57336987343829,4.60465802208445,4.6325418505438,3.0,27.9305764705882,16.0747285453889,,,11.331
